# XviD 2pass stat file (core version 1.3.2)
# Please do not modify this file

p 2 0 394 2 13530 625
b 4 0 396 0 1675 354
b 4 0 396 0 1827 364
p 2 0 386 10 9022 573
b 4 0 396 0 1783 364
b 4 0 396 0 2041 389
p 2 0 383 13 9378 555
b 4 0 396 0 1765 334
b 4 0 396 0 1907 349
p 2 0 390 6 11567 574
b 4 0 396 0 2466 521
b 4 0 396 0 2252 464
p 2 1 395 0 13871 635
b 4 0 396 0 2054 387
b 4 0 396 0 2095 371
p 2 0 379 17 10623 562
b 4 0 396 0 1711 379
b 4 0 396 0 1861 375
p 2 0 377 19 9913 562
b 4 0 396 0 1710 373
b 4 0 396 0 1863 390
p 2 0 386 10 12224 577
b 4 0 396 0 2142 448
b 4 0 396 0 2013 418
p 2 0 396 0 14012 632
b 4 0 396 0 1777 356
b 4 0 396 0 2081 365
p 2 0 380 16 9801 567
b 4 0 396 0 1845 369
b 4 0 396 0 2058 378
p 2 0 380 16 9875 567
b 4 0 396 0 1930 357
b 4 0 396 0 2082 384
p 2 0 380 16 11967 575
b 4 0 396 0 2242 439
b 4 0 396 0 2068 439
p 2 0 392 4 14168 619
b 4 0 396 0 1773 392
b 4 0 396 0 1824 354
p 2 0 387 9 9781 579
b 4 0 396 0 1781 378
b 4 0 396 0 1968 381
p 2 0 374 22 10154 566
b 4 0 396 0 1632 371
b 4 0 396 0 1902 365
p 2 0 388 8 12015 572
b 4 0 396 0 2394 466
b 4 0 396 0 2081 431
p 2 0 395 1 13943 618
b 4 0 396 0 1748 365
b 4 0 396 0 1850 371
p 2 0 386 10 9321 571
b 4 0 396 0 1586 361
b 4 0 396 0 1947 396
p 2 0 373 23 9239 564
b 4 0 396 0 1467 342
b 4 0 396 0 1536 383
p 2 0 379 17 10961 563
b 4 0 396 0 1882 496
b 4 0 396 0 1722 467
p 2 0 395 1 12404 620
b 4 0 396 0 1351 369
b 4 0 396 0 1567 380
p 2 0 383 13 8851 573
b 4 0 396 0 1501 365
b 4 0 396 0 1752 405
p 2 0 383 13 9321 560
b 4 0 396 0 1583 347
b 4 0 396 0 1773 369
p 2 0 383 13 11023 566
b 4 0 396 0 2089 433
b 4 0 396 0 1900 415
p 2 0 395 1 13337 622
b 4 0 396 0 1625 372
b 4 0 396 0 1770 366
p 2 0 379 17 9293 570
b 4 0 396 0 1727 383
b 4 0 396 0 2118 413
p 2 0 377 19 9549 555
b 4 0 396 0 1799 373
b 4 0 396 0 2024 415
